Timepoint,SampleDate,ReplicateNumber
0,2020-03-02,31
0,2020-03-02,15
0,2020-03-02,14
0,2020-03-02,3
0,2020-03-02,10
0,2020-03-02,18
1,2020-03-09,27
1,2020-03-09,13
1,2020-03-09,6
1,2020-03-09,25
1,2020-03-09,19
1,2020-03-09,36
2,2020-03-16,7
2,2020-03-16,29
2,2020-03-16,12
2,2020-03-16,4
2,2020-03-16,11
2,2020-03-16,9
3,2020-03-23,23
3,2020-03-23,22
3,2020-03-23,30
3,2020-03-23,5
3,2020-03-23,8
3,2020-03-23,1
4,2020-03-30,34
4,2020-03-30,26
4,2020-03-30,21
4,2020-03-30,35
4,2020-03-30,2
4,2020-03-30,28
5,2020-04-06,17
5,2020-04-06,20
5,2020-04-06,24
5,2020-04-06,16
5,2020-04-06,32
5,2020-04-06,33
